"","State","RacismPre","RacismPost","ChangeRacism","ChUnemp"
"1","Alabama",76,90,1.18421052631579,6
"2","Arizona",47,59,1.25531914893617,6.2
"3","Arkansas",67,98,1.46268656716418,2.4
"4","California",47,39,0.829787234042553,6.7
"5","Colorado",35,53,1.51428571428571,4.5
"6","Connecticut",62,76,1.2258064516129,4.3
"7","Delaware",68,94,1.38235294117647,4.4
"8","District of Columbia",42,54,1.28571428571429,4.3
"9","Florida",61,73,1.19672131147541,7.2
"10","Georgia",61,69,1.13114754098361,5.3
"11","Hawaii",34,43,1.26470588235294,4.2
"12","Idaho",41,55,1.34146341463415,5.1
"13","Illinois",57,62,1.08771929824561,5.4
"14","Indiana",67,74,1.1044776119403,5.4
"15","Iowa",51,63,1.23529411764706,2.5
"16","Kansas",59,82,1.38983050847458,2.8
"17","Kentucky",81,99,1.22222222222222,4.5
"18","Louisiana",89,100,1.12359550561798,3.1
"19","Maine",49,66,1.3469387755102,3.4
"20","Maryland",57,68,1.19298245614035,4
"21","Massachusetts",48,65,1.35416666666667,3.6
"22","Michigan",71,83,1.16901408450704,6.1
"23","Minnesota",42,51,1.21428571428571,3.3
"24","Mississippi",85,94,1.10588235294118,3.5
"25","Missouri",63,77,1.22222222222222,4.4
"26","Nebraska",55,61,1.10909090909091,1.7
"27","Nevada",66,80,1.21212121212121,8.3
"28","New Hampshire",53,68,1.28301886792453,2.6
"29","New Jersey",66,72,1.09090909090909,4.8
"30","New Mexico",41,46,1.1219512195122,3.6
"31","New York",59,65,1.10169491525424,3.9
"32","North Carolina",60,82,1.36666666666667,5.9
"33","Ohio",70,87,1.24285714285714,4.5
"34","Oklahoma",59,73,1.23728813559322,2.7
"35","Oregon",42,56,1.33333333333333,5.7
"36","Pennsylvania",76,87,1.14473684210526,3.7
"37","Rhode Island",68,75,1.10294117647059,6.2
"38","South Carolina",76,88,1.15789473684211,5.3
"39","Tennessee",69,80,1.15942028985507,5.2
"40","Texas",53,67,1.26415094339623,3.2
"41","Utah",29,37,1.27586206896552,5.1
"42","Virginia",52,43,0.826923076923077,4.9
"43","Washington",47,60,1.27659574468085,4.9
"44","West Virginia",100,99,0.99,3.7
"45","Wisconsin",56,64,1.14285714285714,3.9
