"","DMA","raciallychargedsearch"
"1","LAREDO (TX)",25.6765632629395
"2","HONOLULU (HI)",30.1041774749756
"3","MONTEREY (CA) - SALINAS (CA)",32.7533912658691
"4","DENVER (CO)",32.7996139526367
"5","COLORADO SPRINGS (CO) - PUEBLO (CO)",34.2962188720703
"6","SALT LAKE CITY (UT)",34.6267623901367
"7","BOISE (ID)",35.7766265869141
"8","MISSOULA (MT)",36.3930130004883
"9","WAUSAU (WI) - RHINELANDER (WI)",38.1047706604004
"10","WICHITA (KS) - HUTCHINSON (KS)",38.3022155761719
"11","EL PASO (TX)",39.3613204956055
"12","TOPEKA (KS)",40.0817718505859
"13","TULSA (OK)",40.5942230224609
"14","YAKIMA (WA) - PASCO (WA) - RICHLAND (WA) - KENNEWICK (WA)",40.920955657959
"15","MEDFORD (OR) - KLAMATH FALLS (OR)",40.9886436462402
"16","PEORIA (IL) - BLOOMINGTON (IL)",42.1230430603027
"17","DES MOINES (IA) - AMES (IA)",42.247974395752
"18","MINNEAPOLIS (MN) - ST. PAUL (MN)",42.3182144165039
"19","HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX)",42.4425048828125
"20","PORTLAND (OR)",42.5124359130859
"21","CHEYENNE (WY) - SCOTTSBLUF (NE)",42.7991027832031
"22","IDAHO FALLS (ID) - POCATELLO (ID)",42.8253974914551
"23","FARGO (ND) - VALLEY CITY (ND)",43.064266204834
"24","BUTTE (MT) - BOZEMAN (MT)",43.8150215148926
"25","CEDAR RAPIDS (IA) - WATERLOO (IA) - IOWA CITY (IA) - DUBUQUE (IA)",44.1410293579102
"26","RENO (NV)",44.8062400817871
"27","MINOT (ND) - BISMARCK (ND) - DICKINSON (ND)",44.8140258789062
"28","BILLINGS (MT)",44.8380851745605
"29","CHAMPAIGN (IL) - SPRINGFIELD (IL) - DECATUR (IL)",44.8965644836426
"30","TUCSON (AZ) - SIERRA VISTA (AZ)",45.2386627197266
"31","EUREKA (CA)",45.6005172729492
"32","ALBUQUERQUE (NM) - SANTA FE (NM)",45.6656150817871
"33","EUGENE (OR)",45.7846336364746
"34","MANKATO (MN)",46.0439224243164
"35","RICHMOND (VA) - PETERSBURG (VA)",46.2182388305664
"36","SAN ANTONIO (TX)",46.2285690307617
"37","YUMA (AZ) - EL CENTRO (CA)",46.2589454650879
"38","ROCHESTER (MN) - MASON CITY (IA) - AUSTIN (MN)",46.4556427001953
"39","SPRINGFIELD (MO)",47.0907440185547
