Cities with Highest Senior Population,Total Population,Percent 65+,People 65+ (Est.),Facebook Profiles,Facebook Users 65+,
"sun city center, florida",16321,83.04,13552.9584,20000,6300,31.5
"sun city west, arizona",27318,79.74,21783.3732,12000,5700,47.5
"sun city, arizona",41443,75.1,31123.693,30000,10000,33.33333333
"manchester township, new jersey",17417,72.34,12599.4578,8300,2500,30.12048193
"green valley, arizona",18062,68.6,12390.532,12000,5200,43.33333333
"palm beach, florida",11200,52.62,5893.44,28000,2900,10.35714286
"lady lake, florida",27939,52.23,14592.5397,19000,5300,27.89473684
"hot springs village, arkansas",12800,49.04,6277.12,10000,3800,38
"lakehurst, new jersey",15807,48.22,7622.1354,5900,500,8.474576271
"beverly hills, florida",12993,48.21,6263.9253,12000,2300,19.16666667
,,,,,,
,201300,,132099.1748,157200,44500,
,,,0.6562303766,,0.2830788804,
,,,0.14,,,
,,,,,,
,Entire USA Monthly Searches,,USA Monthly Searches in Old Cities,,,
is heaven real,6600,2.75,240,2,,
is hell real,2400,,120,,,
does heaven exist,720,1.220338983,7,1,,
does hell exist,590,,7,,,
heaven,90500,1.495867769,70,1.4,,
hell,60500,,50,,,
what does heaven look like,5400,2.842105263,22,1.375,,
what does hell look like,1900,,16,,,
,,,,,,
,Searches in Retirement Communities,All USA,,,,
adult diapers,50,9900,,,,
huggies diapers,20,22200,,,,
pampers diapers,10,6600,,,,
cloth diapers,50,49500,,,,
best diapers,10,,,,,
free diapers,20,,,,,
,,,,,,
Neighbor Searches,,,,,,
neighbor,33100,,,,,
neighbor porn,6600,,,,,
hot neighbor,2400,,,,,
the neighbor,1900,,,,,
my neighbor,1300,,,,,
nextdoor neighbor,1300,,,,,
neighbor definition,880,,,,,
neighbor gifts,260,,,,,
neighbor to neighbor,1900,,,,,
neighbor for neighbor,480,,,,,
neighbor agency,260,,,,,
neighbor awards,40,,,,,
neighbor complaints,90,,,,,
neighbor city,210,,,,,
neighbor disputes,140,,,,,
neighbor dog barking,320,,,,,
neighbor emergency,10,,,,,
