"","Var1","Freq"
"1","",1
"145","01-12-1992",1
"1491","04-26-2003",1
"2325","06-29-2012",1
"2375","07-04-1994",1
"2544","07-19-2003",1
"2939","08-21-2001",1
"2965","08-23-2001",1
"3731","10-21-2001",1
"3913","11-04-1996",1
"4356","12-08-2002",1
"494","02-07-2012",2
"3706","10-19-2001",2
"4434","12-14-2002",2
"4577","12-25-2002",2
"133","01-11-2003",3
"147","01-12-2003",3
"94","01-08-2003",4
"2364","07-03-2003",4
"2952","08-22-2001",4
"4395","12-11-2002",4
"4421","12-13-2002",4
"4499","12-19-2002",4
"4629","12-29-2002",4
"303","01-24-2003",5
"843","03-07-2003",5
"4460","12-16-2002",5
"4486","12-18-2002",5
"4564","12-24-2002",5
"4603","12-27-2002",5
"16","01-02-2003",6
"107","01-09-2003",6
"1516","04-28-2003",6
"3407","09-26-2001",6
"4085","11-17-2003",6
"4179","11-24-2006",6
"4369","12-09-2002",6
"3","01-01-2003",7
"609","02-17-2003",7
"4576","12-25-2001",7
"4590","12-26-2002",7
"4642","12-30-2002",7
"2639","07-27-2002",8
"3070","08-31-2002",8
"4070","11-16-2001",8
"4277","12-02-2001",8
"4303","12-04-2001",8
"4408","12-12-2002",8
"4512","12-20-2002",8
"4655","12-31-2002",8
"29","01-03-2003",9
"55","01-05-2003",9
"3577","10-09-2002",9
"3641","10-14-2001",9
"3693","10-18-2001",9
"3888","11-02-2002",9
"3914","11-04-2001",9
"4122","11-20-2001",9
"4148","11-22-2001",9
"4551","12-23-2002",9
"4563","12-24-2001",9
"4616","12-28-2002",9
"2376","07-04-2002",10
"3420","09-27-2001",10
"4096","11-18-2001",10
"4161","11-23-2001",10
"15","01-02-2002",11
"2035","06-07-2002",11
"2351","07-02-2002",11
"3628","10-13-2001",11
"3667","10-16-2001",11
"3809","10-27-2001",11
"3874","11-01-2001",11
"3927","11-05-2001",11
"3953","11-07-2001",11
"4239","11-29-2002",11
"4525","12-21-2002",11
"4615","12-28-2001",11
"42","01-04-2003",12
"80","01-07-2002",12
"584","02-15-2002",12
"1503","04-27-2002",12
"1996","06-04-2002",12
"2087","06-11-2002",12
"2178","06-18-2002",12
"2339","07-01-2002",12
"3200","09-10-2002",12
"3382","09-24-2002",12
"3394","09-25-2001",12
"3498","10-03-2001",12
"3525","10-05-2002",12
"3550","10-07-2001",12
"3861","10-31-2001",12
"3979","11-09-2001",12
"3992","11-10-2001",12
"4018","11-12-2001",12
"4174","11-24-2001",12
"4199","11-26-2001",12
"4282","12-02-2006",12
"4355","12-08-2001",12
"4537","12-22-2001",12
"2","01-01-2002",13
"81","01-07-2003",13
"290","01-23-2003",13
"972","03-17-2002",13
"2074","06-10-2002",13
"2363","07-03-2002",13
"3096","09-02-2002",13
"3213","09-11-2002",13
"3433","09-28-2001",13
"3511","10-04-2001",13
"3602","10-11-2001",13
"3694","10-18-2002",13
"3744","10-22-2001",13
"3771","10-24-2002",13
"3966","11-08-2001",13
"4162","11-23-2002",13
"4264","12-01-2001",13
"4342","12-07-2001",13
"4447","12-15-2002",13
"4473","12-17-2002",13
"68","01-06-2003",14
"198","01-16-2002",14
"1076","03-25-2002",14
"1282","04-10-2002",14
"1440","04-22-2004",14
"1918","05-29-2002",14
"1931","05-30-2002",14
"2023","06-06-2003",14
"2139","06-15-2002",14
"2230","06-22-2002",14
"2843","08-13-2002",14
"2871","08-15-2006",14
"3434","09-28-2002",14
"3447","09-29-2002",14
"3576","10-09-2001",14
"3589","10-10-2001",14
"3590","10-10-2002",14
"3615","10-12-2001",14
"3616","10-12-2002",14
"3745","10-22-2002",14
"3848","10-30-2001",14
"4251","11-30-2001",14
"4265","12-01-2002",14
"4291","12-03-2002",14
"120","01-10-2003",15
"172","01-14-2002",15
"278","01-22-2004",15
"484","02-07-2002",15
"777","03-02-2002",15
"1879","05-26-2002",15
"2100","06-12-2002",15
"2165","06-17-2002",15
"2243","06-23-2002",15
"2255","06-24-2002",15
"2315","06-29-2002",15
"2783","08-08-2002",15
"2867","08-15-2002",15
"3369","09-23-2002",15
"3654","10-15-2001",15
"3757","10-23-2001",15
"3758","10-23-2002",15
"3784","10-25-2002",15
"3887","11-02-2001",15
"4005","11-11-2001",15
"4110","11-19-2002",15
"4136","11-21-2002",15
"4226","11-28-2002",15
"4272","12-01-2009",15
"4538","12-22-2002",15
"4654","12-31-2001",15
"2303","06-28-2002",16
"2651","07-28-2002",16
"2915","08-19-2002",16
"3122","09-04-2002",16
"3239","09-13-2002",16
"3278","09-16-2002",16
"3421","09-27-2002",16
"3486","10-02-2002",16
"3524","10-05-2001",16
"3551","10-07-2002",16
"3862","10-31-2002",16
"3900","11-03-2001",16
"3940","11-06-2001",16
"4058","11-15-2002",16
"4109","11-19-2001",16
"4135","11-21-2001",16
"4212","11-27-2001",16
"4375","12-09-2008",16
"4394","12-11-2001",16
"4524","12-21-2001",16
"354","01-28-2002",17
"485","02-07-2003",17
"497","02-08-2002",17
"632","02-19-2003",17
"790","03-03-2002",17
"959","03-16-2002",17
"1152","03-31-2002",17
"1153","03-31-2003",17
"1191","04-03-2002",17
"1387","04-18-2003",17
"1425","04-21-2002",17
"1465","04-24-2003",17
"1477","04-25-2002",17
"1750","05-16-2003",17
"2061","06-09-2002",17
"2126","06-14-2002",17
"2409","07-07-2002",17
"2464","07-12-2002",17
"2532","07-18-2003",17
"2735","08-04-2002",17
"2807","08-10-2002",17
"2819","08-11-2002",17
"2978","08-24-2001",17
"2992","08-25-2002",17
"3109","09-03-2002",17
"3252","09-14-2002",17
"3381","09-24-2001",17
"3783","10-25-2001",17
"4019","11-12-2002",17
"4045","11-14-2002",17
"4329","12-06-2001",17
"4343","12-07-2002",17
"4368","12-09-2001",17
"4589","12-26-2001",17
"28","01-03-2002",18
"380","01-30-2002",18
"458","02-05-2002",18
"748","02-28-2002",18
"764","03-01-2002",18
"1139","03-30-2002",18
"1140","03-30-2003",18
"1165","04-01-2002",18
"1204","04-04-2002",18
"1283","04-10-2003",18
"1490","04-26-2002",18
"1840","05-23-2002",18
"2475","07-13-2002",18
"2627","07-26-2002",18
"2675","07-30-2002",18
"2687","07-31-2002",18
"2979","08-24-2002",18
"3018","08-27-2002",18
"3031","08-28-2002",18
"3148","09-06-2002",18
"3330","09-20-2002",18
"3460","09-30-2002",18
"3473","10-01-2002",18
"3537","10-06-2001",18
"3680","10-17-2001",18
"3796","10-26-2001",18
"4084","11-17-2002",18
"4200","11-26-2002",18
"4213","11-27-2002",18
"4382","12-10-2002",18
"4472","12-17-2001",18
"185","01-15-2002",19
"276","01-22-2002",19
"381","01-30-2003",19
"735","02-27-2002",19
"973","03-17-2003",19
"1038","03-22-2003",19
"1063","03-24-2002",19
"1166","04-01-2003",19
"1269","04-09-2002",19
"1554","05-01-2002",19
"1762","05-17-2002",19
"1905","05-28-2002",19
"2009","06-05-2002",19
"2022","06-06-2002",19
"2327","06-30-2002",19
"2387","07-05-2002",19
"2519","07-17-2002",19
"2771","08-07-2002",19
"3135","09-05-2002",19
"3304","09-18-2002",19
"3343","09-21-2002",19
"3408","09-26-2002",19
"3459","09-30-2001",19
"3499","10-03-2002",19
"3629","10-13-2002",19
"3915","11-04-2002",19
"4032","11-13-2002",19
"4083","11-17-2001",19
"4238","11-29-2001",19
"4362","12-08-2008",19
"224","01-18-2002",20
"250","01-20-2002",20
"328","01-26-2002",20
"521","02-10-2002",20
"549","02-12-2004",20
"597","02-16-2003",20
"933","03-14-2002",20
"1089","03-26-2002",20
"1308","04-12-2002",20
"1360","04-16-2002",20
"1528","04-29-2002",20
"1541","04-30-2002",20
"1567","05-02-2002",20
"1685","05-11-2003",20
"2048","06-08-2002",20
"2113","06-13-2002",20
"2603","07-24-2002",20
"3044","08-29-2002",20
"3174","09-08-2002",20
"3226","09-12-2002",20
"3356","09-22-2002",20
"3472","10-01-2001",20
"3485","10-02-2001",20
"3512","10-04-2002",20
"3564","10-08-2002",20
"3681","10-17-2002",20
"3719","10-20-2002",20
"3836","10-29-2002",20
"3928","11-05-2002",20
"4057","11-15-2001",20
"4149","11-22-2002",20
"4187","11-25-2001",20
"4446","12-15-2001",20
"4550","12-23-2001",20
"159","01-13-2002",21
"316","01-25-2003",21
"433","02-03-2003",21
"534","02-11-2002",21
"560","02-13-2002",21
"596","02-16-2002",21
"722","02-26-2002",21
"778","03-02-2003",21
"791","03-03-2003",21
"1064","03-24-2003",21
"1334","04-14-2002",21
"1724","05-14-2003",21
"1775","05-18-2002",21
"1866","05-25-2002",21
"1944","05-31-2002",21
"2304","06-28-2003",21
"2420","07-08-2002",21
"2699","08-01-2002",21
"2749","08-05-2004",21
"2831","08-12-2002",21
"2855","08-14-2002",21
"2953","08-22-2002",21
"3004","08-26-2001",21
"3005","08-26-2002",21
"3395","09-25-2002",21
"3797","10-26-2002",21
"3941","11-06-2002",21
"4006","11-11-2002",21
"4225","11-28-2001",21
"4316","12-05-2001",21
"4330","12-06-2002",21
"4381","12-10-2001",21
"4420","12-13-2001",21
"4459","12-16-2001",21
"174","01-14-2004",22
"315","01-25-2002",22
"395","01-31-2004",22
"407","02-01-2003",22
"408","02-01-2004",22
"432","02-03-2002",22
"697","02-24-2003",22
"736","02-27-2003",22
"882","03-10-2003",22
"1011","03-20-2002",22
"1012","03-20-2003",22
"1090","03-26-2003",22
"1321","04-13-2002",22
"1593","05-04-2002",22
"1671","05-10-2002",22
"1711","05-13-2003",22
"2049","06-08-2003",22
"2127","06-14-2003",22
"2204","06-20-2002",22
"2268","06-25-2003",22
"2531","07-18-2002",22
"2579","07-22-2002",22
"2723","08-03-2002",22
"2759","08-06-2002",22
"2795","08-09-2002",22
"2879","08-16-2002",22
"2891","08-17-2002",22
"3124","09-04-2004",22
"3187","09-09-2002",22
"3303","09-18-2001",22
"3642","10-14-2002",22
"3668","10-16-2002",22
"3707","10-19-2002",22
"3875","11-01-2002",22
"3967","11-08-2002",22
"3980","11-09-2002",22
"4071","11-16-2002",22
"4175","11-24-2002",22
"4290","12-03-2001",22
"186","01-15-2003",23
"265","01-21-2004",23
"289","01-23-2002",23
"302","01-24-2002",23
"355","01-28-2003",23
"367","01-29-2002",23
"445","02-04-2002",23
"709","02-25-2002",23
"816","03-05-2002",23
"817","03-05-2003",23
"855","03-08-2002",23
"868","03-09-2002",23
"985","03-18-2002",23
"1113","03-28-2002",23
"1126","03-29-2002",23
"1178","04-02-2002",23
"1347","04-15-2002",23
"1412","04-20-2002",23
"1426","04-21-2003",23
"1515","04-28-2002",23
"1581","05-03-2003",23
"1606","05-05-2002",23
"1749","05-16-2002",23
"1789","05-19-2003",23
"1801","05-20-2002",23
"2152","06-16-2002",23
"2567","07-21-2002",23
"2591","07-23-2002",23
"2663","07-29-2002",23
"2966","08-23-2002",23
"3265","09-15-2002",23
"3317","09-19-2002",23
"3329","09-20-2001",23
"3563","10-08-2001",23
"3849","10-30-2002",23
"3993","11-10-2002",23
"4123","11-20-2002",23
"4252","11-30-2002",23
"4304","12-04-2002",23
"4407","12-12-2001",23
"4628","12-29-2001",23
"211","01-17-2002",24
"277","01-22-2003",24
"393","01-31-2002",24
"420","02-02-2003",24
"498","02-08-2003",24
"572","02-14-2002",24
"658","02-21-2003",24
"696","02-24-2002",24
"765","03-01-2003",24
"869","03-09-2003",24
"881","03-10-2002",24
"894","03-11-2002",24
"920","03-13-2002",24
"999","03-19-2003",24
"1024","03-21-2002",24
"1295","04-11-2002",24
"1400","04-19-2003",24
"1413","04-20-2003",24
"1438","04-22-2002",24
"1542","04-30-2003",24
"1698","05-12-2003",24
"1919","05-29-2003",24
"1970","06-02-2002",24
"2166","06-17-2003",24
"2217","06-21-2002",24
"2279","06-26-2002",24
"2352","07-02-2003",24
"2398","07-06-2002",24
"2497","07-15-2002",24
"2508","07-16-2002",24
"2543","07-19-2002",24
"3290","09-17-2001",24
"3732","10-21-2002",24
"3770","10-24-2001",24
"3822","10-28-2001",24
"3835","10-29-2001",24
"3955","11-07-2003",24
"4150","11-22-2003",24
"4317","12-05-2002",24
"4485","12-18-2001",24
"4602","12-27-2001",24
"54","01-05-2002",25
"225","01-18-2003",25
"369","01-29-2004",25
"394","01-31-2003",25
