,statename,rate
12,HAWAII,0.3827404372
9,DISTRICT_OF_COLUMBIA,0.3908686291
40,RHODE_ISLAND,0.4255798052
22,MASSACHUSETTS,0.4515313363
14,ILLINOIS,0.4911989737
7,CONNECTICUT,0.5208203665
33,NEW_YORK,0.5374822847
28,NEBRASKA,0.54736576
31,NEW_JERSEY,0.583778045
32,NEW_MEXICO,0.5954622721
21,MARYLAND,0.6368163581
45,UTAH,0.6863221279
5,CALIFORNIA,0.6890943086
46,VERMONT,0.6930855848
24,MINNESOTA,0.6976859376
39,PENNSYLVANIA,0.7070612489
26,MISSOURI,0.7096424317
34,NORTH_CAROLINA,0.7130455835
42,SOUTH_DAKOTA,0.740728651
41,SOUTH_CAROLINA,0.7426078259
19,LOUISIANA,0.7707048731
50,WISCONSIN,0.8000828657
23,MICHIGAN,0.8187896894
11,GEORGIA,0.8275716552
47,VIRGINIA,0.8353050417
30,NEW_HAMPSHIRE,0.8590418718
29,NEVADA,0.8641809941
25,MISSISSIPPI,0.910260622
8,DELAWARE,0.9145296771
16,IOWA,0.9466645182
44,TEXAS,0.9484008635
35,NORTH_DAKOTA,0.953534722
10,FLORIDA,0.9630993029
1,ALABAMA,0.9798504757
36,OHIO,0.9807278721
4,ARKANSAS,0.9971308704
15,INDIANA,1.001187392
20,MAINE,1.017943147
17,KANSAS,1.033178717
6,COLORADO,1.040631928
37,OKLAHOMA,1.060920375
43,TENNESSEE,1.069987058
49,WEST_VIRGINIA,1.070993037
48,WASHINGTON,1.082626855
18,KENTUCKY,1.121825024
3,ARIZONA,1.127296788
51,WYOMING,1.221492932
38,OREGON,1.349463582
13,IDAHO,1.380167
2,ALASKA,1.551653975
27,MONTANA,1.558158529
